commit,auth_date,author,subject,category
f0d67f16,2025-12-03,yangdx,"Merge branch 'cohere-rerank'",rerank
9009abed,2025-12-03,yangdx,"Fix top_n behavior with chunking to limit documents not chunks",chunking
561ba4e4,2025-12-03,yangdx,"Fix trailing whitespace and update test mocking for rerank module",tests
8e50eef5,2025-12-02,yangdx,"Merge branch 'main' into cohere-rerank",rerank
64760216,2025-12-02,yangdx,"Configure Dependabot schedule with specific times and timezone",tests
6e2f125a,2025-12-02,Daniel.y,"Merge pull request #2471 from HKUDS/dependabot/bun/lightrag_webui/frontend-minor-patch-172e1e6fcf",webui
ddd32f58,2025-12-02,Daniel.y,"Merge pull request #2470 from HKUDS/dependabot/bun/lightrag_webui/build-tools-939f50a5f3",webui
68bee74d,2025-12-02,dependabot[bot],"Bump the frontend-minor-patch group in /lightrag_webui with 2 updates",webui
7545fa72,2025-12-02,dependabot[bot],"Bump vite in /lightrag_webui in the build-tools group",webui
13fc9f33,2025-12-02,yangdx,"Reduce dependabot open pull request limits",dependabot
4c775ec5,2025-12-02,Daniel.y,"Merge pull request #2469 from danielaskdd/fix-track-id",misc
ed22e094,2025-12-02,yangdx,"Merge branch 'main' into fix-track-id",misc
19c16bc4,2025-12-02,yangdx,"Add content deduplication check for document insertion endpoints",ingestion
1f875122,2025-12-02,yangdx,"Drop Python 3.10 and 3.11 from CI test matrix",tests
8d28b959,2025-12-02,yangdx,"Fix duplicate document responses to return original track_id",ingestion
381ddfff,2025-12-02,yangdx,"Bump API version to 0259",dependabot
19cae272,2025-12-02,Daniel.y,"Merge pull request #2463 from HKUDS/dependabot/bun/lightrag_webui/types/node-24.9.2",webui
dd95813f,2025-12-02,Daniel.y,"Merge pull request #2465 from HKUDS/dependabot/bun/lightrag_webui/react-markdown-10.1.0",webui
d5e7b230,2025-12-02,dependabot[bot],"Bump @types/node from 22.18.9 to 24.9.2 in /lightrag_webui",webui
0d89cd26,2025-12-02,Daniel.y,"Merge pull request #2462 from HKUDS/dependabot/bun/lightrag_webui/faker-js/faker-10.1.0",webui
a47414f7,2025-12-02,Daniel.y,"Merge pull request #2461 from HKUDS/dependabot/bun/lightrag_webui/sonner-2.0.7",webui
dd4c988b,2025-12-02,dependabot[bot],"Bump react-markdown from 9.1.0 to 10.1.0 in /lightrag_webui",webui
67d9455c,2025-12-02,Daniel.y,"Merge pull request #2466 from HKUDS/dependabot/bun/lightrag_webui/react-i18next-16.2.3",webui
57d9cc8f,2025-12-02,Daniel.y,"Merge pull request #2464 from HKUDS/dependabot/bun/lightrag_webui/react-syntax-highlighter-16.1.0",webui
e20f86a0,2025-12-02,dependabot[bot],"Bump react-i18next from 15.7.4 to 16.2.3 in /lightrag_webui",webui
b38f4dd7,2025-12-02,dependabot[bot],"Bump react-syntax-highlighter from 15.6.6 to 16.1.0 in /lightrag_webui",webui
